text,label,lang
"सरकार ने नई योजना की घोषणा की।",politics,hi
"क्रिकेट टीम ने श्रृंखला जीती।",sports,hi
"शेयर बाजार में आज तेजी रही।",business,hi
"कंपनी ने नया उत्पाद लॉन्च किया।",business,hi
"फुटबॉल लीग का फाइनल रोमांचक रहा।",sports,hi
"वित्त मंत्री ने बजट पेश किया।",politics,hi
"সরকার নতুন করনীতি ঘোষণা করেছে।",politics,bn
"ক্রিকেট দল সিরিজ জিতেছে।",sports,bn
"শেয়ারবাজারে আজ ঊর্ধ্বগতি।",business,bn
"কোম্পানি নতুন সেবা চালু করেছে।",business,bn
"ফুটবল ফাইনাল উত্তেজনাপূর্ণ ছিল।",sports,bn
"রাজ্যসভায় বিল পাশ হয়েছে।",politics,bn
"அரசு புதிய திட்டத்தை அறிவித்தது.",politics,ta
"கிரிக்கெட் அணியும் தொடரை வென்றது.",sports,ta
"பங்குச்சந்தையில் இன்று உயர்வு.",business,ta
"நிறுவனம் புதிய சேவையை தொடங்கியது.",business,ta
"கால்பந்து இறுதிப்போட்டி சுவாரஸ்யமாக இருந்தது.",sports,ta
"நிதி அமைச்சர் பட்ஜெட்டை சமர்ப்பித்தார்.",politics,ta
